-0.032754654,0.078209126,5,4.5,6,5,5,1
0.046673193,0.189599599,5,4,6,6,5,0
0.016411394,0.079228694,5.5,5.5,6,6,6,0
-0.192786309,-0.020108432,4.5,4,4.5,3,4.5,0
-0.094667798,0.100124182,4,3,3.5,5,4,1
-0.033975581,0.153724581,5,4,5.5,5.5,5,0
-0.14178328,0.038110095,3,2.5,4,3,3.5,1
0.081883378,0.136334537,6,3.5,5,6,5.5,1
-0.089767682,0.089992807,5,4,4,4.5,4,1
-0.062942919,0.015027701,5,4,5,4,5,0
0.071240321,0.122056523,4.5,5,6.5,4.5,6,1
0.148904707,0.109126494,4.5,5,6,5,5,0
0.022734315,0.0559071,5,5,6.5,5,5.5,0
-0.118324141,0.092816204,5.5,3,4,5,3.5,1
0.023932348,0.130607083,5,4.5,5.5,4.5,5,0
0.047748264,0.101647835,3.5,3.5,5,4,3,1
0.039825839,0.265814525,5,4,6,6.5,5,1
0.074327331,0.124422173,5,4.5,5.5,6,5,0